Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10
78119.21718750002,90626.3671875,78232.5359375,129520.5041666667,102249.71425000006,96479.20625000003,112006.1666666666,82557.89941666668,107182.99366666666,89372.86816666664
78119.21718750002,79524.36562500002,78232.5359375,109183.94654166664,92718.49414666668,81857.29405666667,102337.05416666667,76280.41438499998,90867.57354166667,78936.33122916665
78119.21718750002,75037.74558333328,78045.53859999997,102658.15866666667,85618.46816666669,81857.29405666667,75257.33496000004,76280.41438499998,77473.11705999999,76335.2989791667
77208.9607391667,73225.74810416663,74899.12579166667,102658.15866666667,83882.60190666669,76650.83654166665,75257.33496000004,76280.41438499998,77473.11705999999,72041.38341666668
72111.68529250006,68165.08892000001,73658.89510416667,98738.88000000002,81962.61141250003,76555.9774616666,75257.33496000004,74984.110295,76465.75818666667,72041.38341666668
72111.68529250006,68165.08892000001,71967.4541283333,98738.88000000002,79664.5269166667,73230.19941666668,75257.33496000004,67866.4138575,75422.0826766666,72041.38341666668
69088.2511466667,68165.08892000001,71967.4541283333,98738.88000000002,79664.5269166667,72395.47660416666,75257.33496000004,67866.4138575,75422.0826766666,70827.12054166666
69088.2511466667,68165.08892000001,71967.4541283333,95299.96516666668,79664.5269166667,72395.47660416666,75257.33496000004,67866.4138575,71440.47362166668,69743.63466
69088.2511466667,68165.08892000001,70048.24062749998,93403.01891666665,78158.95999999995,67697.74736416664,73325.27500000004,67866.4138575,71440.47362166668,67965.11198666666
69088.2511466667,68165.08892000001,70048.24062749998,93403.01891666665,71601.91666666672,67697.74736416664,73325.27500000004,67866.4138575,69403.26636000004,67965.11198666666
69088.2511466667,68165.08892000001,67681.31016999998,93403.01891666665,71601.91666666672,67697.74736416664,73325.27500000004,67866.4138575,69403.26636000004,67965.11198666666
68330.94779166665,68165.08892000001,67681.31016999998,92340.04716666664,71601.91666666672,67697.74736416664,73325.27500000004,67866.4138575,69403.26636000004,67965.11198666666
68330.94779166665,68165.08892000001,67681.31016999998,92340.04716666664,71601.91666666672,67697.74736416664,70656.1872291667,67866.4138575,69403.26636000004,67965.11198666666
68330.94779166665,67360.10754166664,67681.31016999998,89554.76701500005,71601.91666666672,67697.74736416664,70656.1872291667,67563.50452999993,69403.26636000004,67965.11198666666
67985.34757333335,67360.10754166664,67681.31016999998,89554.76701500005,71601.91666666672,67697.74736416664,70656.1872291667,67563.50452999993,67154.15297916667,67965.11198666666
67985.34757333335,67360.10754166664,70122.00991666666,89341.77193999996,71601.91666666672,68430.6052266667,70544.98741666666,67563.50452999993,67154.15297916667,68915.52210416665
67985.34757333335,66817.88783916668,70122.00991666666,89341.77193999996,71601.91666666672,66566.72230166664,69043.27285416669,67563.50452999993,67154.15297916667,68915.52210416665
67985.34757333335,66817.88783916668,70220.8225,75070.74166666667,72626.62841666664,66566.72230166664,69043.27285416669,67563.50452999993,67154.15297916667,68915.52210416665
67985.34757333335,66817.88783916668,70220.8225,69128.79583333332,71657.41666666673,66566.72230166664,69043.27285416669,67563.50452999993,67154.15297916667,68915.52210416665
67985.34757333335,66817.88783916668,68853.5314666667,69128.79583333332,71657.41666666673,66566.72230166664,69043.27285416669,67563.50452999993,67154.15297916667,68915.52210416665
67985.34757333335,66817.88783916668,68853.5314666667,69128.79583333332,69585.92324749999,66566.72230166664,69043.27285416669,67563.50452999993,67154.15297916667,68915.52210416665
